,Builder Name,City,Locality,Property Type,Price in Crores,Area in Sqft,Construction Status,Age of property
4955,M Arun KumarAGENT0,Hyderabad,Bongloor,Residential Plot ,1.64,14400,New,123 - 124 years old
4956,M Arun KumarAGENT0,Hyderabad,Adibatla,"Residential PlotAdibatla, Hyderabad",0.44,3600,New,123 - 124 years old
4957,M Arun KumarAGENT0,Hyderabad,Adibatla,"Residential PlotAdibatla, Hyderabad",1.1,9000,New,123 - 124 years old
4958,M Arun KumarAGENT0,Hyderabad,Adibatla,"Residential PlotAdibatla, Hyderabad",0.55,4500,New,123 - 124 years old
4959,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.384,240,New,3 - 4 years old
4960,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.5,5475,New,3 - 4 years old
4961,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.48,5400,New,3 - 4 years old
4962,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.2853,1665,New,1 open sides
4963,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.2875,1656,New,3 - 4 years old
4964,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3212,1890,New,3 - 4 years old
4965,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.281,190,New,3 - 4 years old
4966,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.27449999999999997,183,New,3 - 4 years old
4967,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.2087,1500,New,4 - 5 years old
4968,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.2755,1650,New,3 - 4 years old
4969,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.25,1800,New,4 - 5 years old
4970,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.18760000000000002,1501,New,4 - 5 years old
4971,FuturelandAGENT0,Hyderabad,Ghatkesar,"Residential PlotGhatkesar, Hyderabad",0.32,1800,New,1 open sides
4972,FuturelandAGENT0,Hyderabad,Shadnagar,"Residential PlotShadnagar, Hyderabad",0.1503,1650,New,1 open sides
4973,Kriti InfraAGENT0,Hyderabad,Chandanagar,"2 BHK ApartmentChandanagar, Hyderabad",0.6,1150,Ready to move,2 Bathrooms
4974,Kriti InfraAGENT0,Hyderabad,Nagulapalli,"2 BHK ApartmentNagulapalli, Hyderabad",0.33,1145,Under Construction,2 Bathrooms
4975,Kriti InfraAGENT0,Hyderabad,Bachupally,2 BHK Apartment ,0.7103,1184,Under Construction,Possession by Nov 2023
4976,Kriti InfraAGENT0,Hyderabad,Bachupally,2 BHK Apartment ,0.8441,1407,Under Construction,Possession by Nov 2023
4977,Kriti InfraAGENT0,Hyderabad,Bachupally,3 BHK Apartment ,1.16,1943,Under Construction,Possession by Nov 2023
4978,Kriti InfraAGENT0,Hyderabad,Bachupally,3 BHK Apartment ,1.01,1700,Under Construction,Possession by Nov 2023
4979,ProptigerAGENT0,Hyderabad,Kokapet,4 BHK Apartment ,4.34,3333,Under Construction,Possession by Nov 2025
4980,ProptigerAGENT0,Hyderabad,Kokapet,4 BHK Apartment ,4.34,3333,Under Construction,Possession by Nov 2025
4981,ProptigerAGENT0,Hyderabad,Kokapet,4 BHK Apartment ,4.34,3333,Under Construction,Possession by Nov 2025
4982,ProptigerAGENT0,Hyderabad,Kokapet,4 BHK Apartment ,4.34,3333,Under Construction,Possession by Nov 2025
4983,ProptigerAGENT0,Hyderabad,Kokapet,3 BHK Apartment ,2.49,2552,Under Construction,Possession by Nov 2025
4984,ProptigerAGENT0,Hyderabad,Kokapet,3 BHK Apartment ,2.49,2552,Under Construction,Possession by Nov 2025
4985,ProptigerAGENT0,Hyderabad,Kokapet,4 BHK Apartment ,3.49,3030,Under Construction,Possession by Nov 2025
4986,ProptigerAGENT0,Hyderabad,Kokapet,4 BHK Apartment ,3.49,3030,Under Construction,Possession by Nov 2025
4987,ProptigerAGENT0,Hyderabad,Kokapet,4 BHK Apartment ,4.8,3939,Under Construction,Possession by Nov 2025
