,Builder Name,City,Locality,Property Type,Price in Crores,Area in Sqft,Construction Status,Age of property
0,Theme Ambience InfrastructuresBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.5,2090,Under Construction,Possession by Dec 2024
1,Elemental RealtyBUILDER0,Hyderabad,Patancheru,4 BHK Villa ,1.48,1930,Under Construction,Possession by Nov 2024
2,R V Nirmaan Private LimitedBUILDER0,Hyderabad,Miyapur,3 BHK Apartment ,1.27,1967,Under Construction,Possession by Nov 2024
3,Risinia BuildersBUILDER0,Hyderabad,Pragathi Nagar Kukatpally,2 BHK Apartment ,0.7345,1312,Under Construction,Possession by May 2025
4,Cyber City OrianaBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.28,1480,Under Construction,Possession by Nov 2025
5,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.46,2005,Under Construction,Possession by Nov 2024
6,Jain ConstructionsBUILDER0,Hyderabad,Malkajgiri,3 BHK Apartment ,1.63,2245,Under Construction,Possession by Nov 2023
7,Ira RealityBUILDER0,Hyderabad,Adibatla,4 BHK Villa ,3.14,3705,Under Construction,Possession by Dec 2025
8,Hallmark BuildersBUILDER0,Hyderabad,Patighanpur,3 BHK Apartment ,1.13,1885,Under Construction,Possession by Nov 2025
9,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.08,3400,Under Construction,Possession by Nov 2024
10,Grenstone InfraBUILDER0,Hyderabad,Maheshwaram,4 BHK Villa ,1.4,2701,Under Construction,Possession by Nov 2024
11,Mahaveer GroupBUILDER0,Hyderabad,Attapur,4 BHK Apartment ,3.52,4706,Under Construction,Possession by Feb 2026
12,Beyond NatureBUILDER0,Hyderabad,Sadashivpet,Residential Plot ,0.63,3150,New,Possession by Feb 2024
13,Vasavi GroupBUILDER0,Hyderabad,Jeedimetla,3 BHK Apartment ,1.08,1965,Under Construction,Possession by Nov 2025
14,ASBLBUILDER0,Hyderabad,Nanakramguda,3 BHK Apartment ,1.58,1870,Under Construction,Possession by Nov 2026
15,Om Sree Builders DevelopersBUILDER0,Hyderabad,Gundlapochampally,3 BHK Apartment ,1.21,1935,Under Construction,Possession by May 2027
16,SVC ConstructionsBUILDER0,Hyderabad,Jeedimetla,3 BHK Apartment ,1.02,1902,Under Construction,Possession by Nov 2024
17,Om Sree Builders And DevelopersBUILDER0,Hyderabad,Yapral,3 BHK Apartment ,1.69,2780,Ready to move,0 - 1 year old
18,Provident Housing LimitedBUILDER0,Hyderabad,Rajendra Nagar,3 BHK Apartment ,0.8,1047,Ready to move,2 - 3 years old
19,GSR GroupBUILDER0,Hyderabad,Kollur,4 BHK Independent House ,4.09,6300,Under Construction,Possession by Jun 2025
20,Om Sree Builders DevelopersBUILDER0,Hyderabad,Gundlapochampally,2 BHK Apartment ,0.8098000000000001,1285,Under Construction,Possession by May 2027
21,SVC ConstructionsBUILDER0,Hyderabad,Jeedimetla,2 BHK Apartment ,0.8154,1510,Under Construction,Possession by Nov 2024
22,Om Sree Builders And DevelopersBUILDER0,Hyderabad,Sainikpuri,3 BHK Apartment ,1.38,2200,Ready to move,0 - 1 year old
23,Provident Housing LimitedBUILDER0,Hyderabad,Rajendra Nagar,1 BHK Apartment ,0.48,610,Ready to move,2 - 3 years old
24,GSR GroupBUILDER0,Hyderabad,Kollur,4 BHK Independent House ,4.09,6300,Under Construction,Possession by Jun 2025
25,Sri Aditya SquaresBUILDER0,Hyderabad,Ramachandrapuram,4 BHK Villa ,2.77,5037,Ready to move,0 - 1 year old
26,Sumadhura Infracon Pvt LtdBUILDER0,Hyderabad,Shamshabad,2 BHK Apartment ,0.7801,1285,Under Construction,Possession by Aug 2025
27,G square HousingBUILDER0,Hyderabad,Choutuppal,Residential Plot ,0.9781,4797,New,Possession by Apr 2024
28,Riddhi GroupBUILDER0,Hyderabad,Manikonda,3 BHK Apartment ,0.9331,1505,Under Construction,Possession by Oct 2023
29,Theme Ambience InfrastructuresBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.56,2170,Under Construction,Possession by Dec 2024
30,Elemental RealtyBUILDER0,Hyderabad,Patancheru,4 BHK Villa ,1.77,2300,Under Construction,Possession by Nov 2024
31,R V Nirmaan Private LimitedBUILDER0,Hyderabad,Miyapur,3 BHK Apartment ,1.24,1914,Under Construction,Possession by Nov 2024
32,Risinia BuildersBUILDER0,Hyderabad,Pragathi Nagar Kukatpally,3 BHK Apartment ,0.9579000000000001,1711,Under Construction,Possession by May 2025
33,Cyber City OrianaBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,2.07,2380,Under Construction,Possession by Nov 2025
34,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.78,2440,Under Construction,Possession by Nov 2024
35,Jain ConstructionsBUILDER0,Hyderabad,Malkajgiri,3 BHK Apartment ,1.21,1670,Under Construction,Possession by Nov 2023
36,Ira RealityBUILDER0,Hyderabad,Adibatla,4 BHK Villa ,3.14,3700,Under Construction,Possession by Dec 2025
37,Hallmark BuildersBUILDER0,Hyderabad,Patighanpur,2 BHK Apartment ,0.7707999999999999,1285,Under Construction,Possession by Nov 2025
38,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.52,3770,Under Construction,Possession by Nov 2024
39,Mahaveer GroupBUILDER0,Hyderabad,Attapur,4 BHK Apartment ,3.52,4706,Under Construction,Possession by Feb 2026
40,Beyond NatureBUILDER0,Hyderabad,Sadashivpet,Residential Plot ,0.36,1800,New,Possession by Feb 2024
41,Vasavi GroupBUILDER0,Hyderabad,Jeedimetla,3 BHK Apartment ,1.04,1900,Under Construction,Possession by Nov 2025
42,ASBLBUILDER0,Hyderabad,Kokapet,3 BHK Apartment ,2.11,2120,Under Construction,Possession by Oct 2023
43,Om Sree Builders DevelopersBUILDER0,Hyderabad,Gundlapochampally,3 BHK Apartment ,1.4,2225,Under Construction,Possession by May 2027
44,SVC ConstructionsBUILDER0,Hyderabad,Jeedimetla,3 BHK Apartment ,1.02,1900,Under Construction,Possession by Nov 2024
45,Om Sree Builders And DevelopersBUILDER0,Hyderabad,Sainikpuri,3 BHK Apartment ,1.38,2195,Ready to move,0 - 1 year old
46,Provident Housing LimitedBUILDER0,Hyderabad,Rajendra Nagar,3 BHK Apartment ,0.9499,1315,Ready to move,2 - 3 years old
47,GSR GroupBUILDER0,Hyderabad,Kollur,3 BHK Independent House ,2.08,3200,Under Construction,Possession by Jun 2025
48,Sri Aditya SquaresBUILDER0,Hyderabad,Ramachandrapuram,4 BHK Villa ,1.74,3180,Ready to move,0 - 1 year old
49,Sumadhura Infracon Pvt LtdBUILDER0,Hyderabad,Shamshabad,2 BHK Apartment ,0.7801,1285,Under Construction,Possession by Aug 2025
50,G square HousingBUILDER0,Hyderabad,Choutuppal,Residential Plot ,0.4899,2403,New,Possession by Apr 2024
51,Riddhi GroupBUILDER0,Hyderabad,Manikonda,2 BHK Apartment ,0.7719,1245,Under Construction,Possession by Oct 2023
52,M KartheekAGENT0,Hyderabad,Tellapur,3 BHK Apartment ,1.56,2150,Under Construction,Possession by Sep 2026
53,Alekya Infraa DevelopersAGENT0,Hyderabad,Aroor,Residential Plot ,0.29600000000000004,1665,New,
54,Maaruthi GroupAGENT0,Hyderabad,Pragathi Nagar Kukatpally,"2 BHK ApartmentPragathi Nagar Kukatpally, Hyderabad",0.56,1100,Ready to move,6 - 7 years old
55,sellerVERIFIED OWNER,Hyderabad,Shamirpet,2 BHK Apartment ,0.38,1090,Under Construction,Possession by Jan 2027
56,sellerVERIFIED OWNER,Hyderabad,Malakpet,"3 BHK Independent FloorMalakpet, Hyderabad",0.47,1080,Ready to move,2 Bathrooms
57,sellerVERIFIED OWNER,Hyderabad,Miyapur,2 BHK Apartment ,0.65,918,Under Construction,Possession by Sep 2023
58,sellerVERIFIED OWNER,Hyderabad,Kollur,"3 BHK ApartmentKollur, Hyderabad",0.795,1600,Ready to move,6 - 7 years old
59,sellerVERIFIED OWNER,Hyderabad,Kokapet,"3 BHK ApartmentKokapet, Hyderabad",1.03,1885,Under Construction,3 Bathrooms
60,sellerVERIFIED OWNER,Hyderabad,Alwal,"3 BHK ApartmentAlwal, Hyderabad",0.8175,1635,Ready to move,3 Bathrooms
61,sellerVERIFIED OWNER,Hyderabad,Alwal,"3 BHK ApartmentAlwal, Hyderabad",0.75,600,Ready to move,Resale 
62,sellerVERIFIED OWNER,Hyderabad,Patancheru,"4 BHK VillaPatancheru, Hyderabad",0.75,2000,Under Construction,3 Bathrooms
63,sellerVERIFIED OWNER,Hyderabad,Manneguda,"4 BHK VillaManneguda, Hyderabad",3.0,3161,Under Construction,4 Bathrooms
64,sellerVERIFIED OWNER,Hyderabad,Hitech City,4 BHK Apartment ,2.46,2695,Ready to move,3 - 4 years old
65,sellerVERIFIED OWNER,Hyderabad,Nandigama,"2 BHK VillaNandigama, Hyderabad",0.594,1100,Under Construction,3 Bathrooms
66,sellerVERIFIED OWNER,Hyderabad,IDA Pashamylaram,"3 BHK VillaIDA Pashamylaram, Hyderabad",0.9555,2100,Under Construction,3 Bathrooms
67,sellerVERIFIED OWNER,Hyderabad,Shadnagar,"Residential PlotShadnagar, Hyderabad",0.4,2250,Resale,
68,sellerVERIFIED OWNER,Hyderabad,Tallagudem,"Residential PlotTallagudem, Hyderabad",0.1125,1350,Resale,3 - 4 years old
69,sellerVERIFIED OWNER,Hyderabad,Aziz Nagar,"Residential PlotAziz Nagar, Hyderabad",0.5,2052,Resale,6 - 7 years old
70,sellerVERIFIED OWNER,Hyderabad,Habsiguda,4 BHK Apartment ,0.55,1051,Ready to move,3 - 4 years old
71,sellerVERIFIED OWNER,Hyderabad,Narsingi,4 BHK ApartmentNars,0.6859999999999999,1204,Under Construction,2 Bathrooms
72,sellerVERIFIED OWNER,Hyderabad,Sainikpuri,3 BHK ApartmentSa,0.852,1600,Under Construction,3 Bathrooms
73,sellerVERIFIED OWNER,Hyderabad,Velmala,4 BHK Villa ,4.51,4100,Under Construction,Possession by Mar 2024
74,sellerVERIFIED OWNER,Hyderabad,Laxmiguda,"2 BHK Independent HouseLaxmiguda, Hyderabad",0.75,1100,Ready to move,4 - 5 years old
75,sellerVERIFIED OWNER,Hyderabad,Bongloor,2 BHK Apartment ,0.55,1100,Ready to move,1 - 2 years old
76,sellerVERIFIED OWNER,Hyderabad,Kadthal,"Residential PlotKadthal, Hyderabad",0.25,12150,Resale,
77,sellerVERIFIED OWNER,Hyderabad,Ameenpur,2 BHK Apartment ,0.5,1020,Ready to move,1 - 2 years old
78,sellerVERIFIED OWNER,Hyderabad,Toli Chowki,"2 BHK ApartmentToli Chowki, Hyderabad",0.65,1350,Ready to move,2 Bathrooms
79,sellerVERIFIED OWNER,Hyderabad,Bachupally,3 BHK Apartment ,0.8748999999999999,1535,Ready to move,3 Bathrooms
80,Theme Ambience InfrastructuresBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.32,1845,Under Construction,Possession by Dec 2024
81,Theme Ambience InfrastructuresBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.62,2250,Under Construction,Possession by Dec 2024
82,Theme Ambience InfrastructuresBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.49,2075,Under Construction,Possession by Dec 2024
83,Elemental RealtyBUILDER0,Hyderabad,Patancheru,4 BHK Villa ,1.61,2100,Under Construction,Possession by Nov 2024
84,R V Nirmaan Private LimitedBUILDER0,Hyderabad,Miyapur,2 BHK Apartment ,0.7039,1083,Under Construction,Possession by Nov 2024
85,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.17,1615,Under Construction,Possession by Nov 2024
86,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.54,2120,Under Construction,Possession by Nov 2024
87,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,2.07,2840,Under Construction,Possession by Nov 2024
88,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.97,2710,Under Construction,Possession by Nov 2024
89,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.59,2180,Under Construction,Possession by Nov 2024
90,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.27,1750,Under Construction,Possession by Nov 2024
91,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.64,2260,Under Construction,Possession by Nov 2024
92,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.55,2135,Under Construction,Possession by Nov 2024
93,Shree Vasavi DevelopersBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.01,1395,Under Construction,Possession by Nov 2024
94,Risinia BuildersBUILDER0,Hyderabad,Pragathi Nagar Kukatpally,3 BHK Apartment ,1.09,1960,Under Construction,Possession by May 2025
95,Cyber City OrianaBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.78,2050,Under Construction,Possession by Nov 2025
96,Cyber City OrianaBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.47,1700,Under Construction,Possession by Nov 2025
97,Ira RealityBUILDER0,Hyderabad,Kollur,2 BHK Apartment ,0.5522,1105,Under Construction,Possession by Nov 2025
98,Ira RealityBUILDER0,Hyderabad,Adibatla,4 BHK Villa ,3.14,3700,Under Construction,Possession by Dec 2025
99,Ira RealityBUILDER0,Hyderabad,Adibatla,4 BHK Villa ,3.14,3705,Under Construction,Possession by Dec 2025
100,Ira RealityBUILDER0,Hyderabad,Kollur,2 BHK Apartment ,0.5522,1105,Under Construction,Possession by Nov 2025
101,Ira RealityBUILDER0,Hyderabad,Kollur,2 BHK Apartment ,0.5522,1105,Under Construction,Possession by Nov 2025
102,Ira RealityBUILDER0,Hyderabad,Adibatla,4 BHK Villa ,3.14,3700,Under Construction,Possession by Dec 2025
103,Ira RealityBUILDER0,Hyderabad,Kollur,3 BHK Apartment ,1.18,2155,Under Construction,Possession by May 2024
104,Ira RealityBUILDER0,Hyderabad,Kollur,3 BHK Apartment ,1.35,2455,Under Construction,Possession by May 2024
105,Ira RealityBUILDER0,Hyderabad,Kollur,3 BHK Apartment ,1.02,1855,Under Construction,Possession by May 2024
106,Ira RealityBUILDER0,Hyderabad,Kollur,3 BHK Apartment ,0.9102,1655,Under Construction,Possession by May 2024
107,Jain ConstructionsBUILDER0,Hyderabad,Malkajgiri,3 BHK Apartment ,1.61,2215,Under Construction,Possession by Nov 2023
108,Jain ConstructionsBUILDER0,Hyderabad,Malkajgiri,3 BHK Apartment ,1.31,1800,Under Construction,Possession by Nov 2023
109,Jain ConstructionsBUILDER0,Hyderabad,Malkajgiri,3 BHK Apartment ,1.27,1740,Under Construction,Possession by Nov 2023
110,M KartheekAGENT0,Hyderabad,Tellapur,5 BHK Apartment ,3.6,4945,Under Construction,Possession by Sep 2026
111,M KartheekAGENT0,Hyderabad,Tellapur,5 BHK Apartment ,3.99,5467,Under Construction,Possession by Sep 2026
112,M KartheekAGENT0,Hyderabad,Tellapur,5 BHK Apartment ,4.35,5962,Under Construction,Possession by Sep 2026
113,M KartheekAGENT0,Hyderabad,Tellapur,4 BHK Independent House ,2.6,3569,Under Construction,Possession by Sep 2026
114,M KartheekAGENT0,Hyderabad,Tellapur,3 BHK Apartment ,1.23,1687,Under Construction,Possession by Sep 2026
115,M KartheekAGENT0,Hyderabad,Tellapur,5 BHK Apartment ,4.22,5783,Under Construction,Possession by Sep 2026
116,M KartheekAGENT0,Hyderabad,Tellapur,3 BHK Apartment ,1.55,2132,Under Construction,Possession by Sep 2026
117,M KartheekAGENT0,Hyderabad,Tellapur,5 BHK Apartment ,4.65,6374,Under Construction,Possession by Sep 2026
118,M KartheekAGENT0,Hyderabad,Tellapur,5 BHK Apartment ,4.65,6371,Under Construction,Possession by Sep 2026
119,M KartheekAGENT0,Hyderabad,Tellapur,5 BHK Apartment ,5.6,7674,Under Construction,Possession by Sep 2026
120,M KartheekAGENT0,Hyderabad,Tellapur,4 BHK Independent House ,3.67,5036,Under Construction,Possession by Sep 2026
121,M KartheekAGENT0,Hyderabad,Tellapur,3 BHK Apartment ,1.36,1874,Under Construction,Possession by Sep 2026
122,M KartheekAGENT0,Hyderabad,Tellapur,5 BHK Apartment ,3.87,5303,Under Construction,Possession by Sep 2026
123,M KartheekAGENT0,Hyderabad,Tellapur,3 BHK Apartment ,1.59,2191,Under Construction,Possession by Sep 2026
124,M KartheekAGENT0,Hyderabad,Tellapur,4 BHK Independent House ,2.87,3942,Under Construction,Possession by Sep 2026
125,M KartheekAGENT0,Hyderabad,Tellapur,3 BHK Apartment ,1.3,1792,Under Construction,Possession by Sep 2026
126,M KartheekAGENT0,Hyderabad,Tellapur,5 BHK Apartment ,4.69,6434,Under Construction,Possession by Sep 2026
127,M KartheekAGENT0,Hyderabad,Tellapur,3 BHK Apartment ,1.61,2208,Under Construction,Possession by Sep 2026
128,Alekya Infraa DevelopersAGENT0,Hyderabad,Nallagandla Gachibowli,Residential Plot ,0.272,1530,New,
129,Alekya Infraa DevelopersAGENT0,Hyderabad,Aroor,Residential Plot ,0.4,2250,New,
130,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.75,2700,New,3 - 4 years old
131,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.625,2250,New,3 - 4 years old
132,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.5625,2025,New,3 - 4 years old
133,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.5,1800,New,3 - 4 years old
134,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.425,1530,New,2 - 3 years old
135,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.4125,1485,New,3 - 4 years old
136,Alekya Infraa DevelopersAGENT0,Hyderabad,Bogaram,Residential Plot ,0.5,1800,New,2 open sides
137,Alekya Infraa DevelopersAGENT0,Hyderabad,Aroor,Residential Plot ,0.28,1575,New,2 open sides
138,Hallmark BuildersBUILDER0,Hyderabad,Patighanpur,2 BHK Apartment ,0.7707999999999999,1285,Under Construction,Possession by Nov 2025
139,Hallmark BuildersBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.69,2255,Under Construction,Possession by Oct 2024
140,Hallmark BuildersBUILDER0,Hyderabad,Patighanpur,3 BHK Apartment ,0.9508,1585,Under Construction,Possession by Nov 2025
141,Hallmark BuildersBUILDER0,Hyderabad,Gandipet,3 BHK Apartment ,1.77,2040,Under Construction,Possession by Nov 2024
142,Hallmark BuildersBUILDER0,Hyderabad,Patighanpur,3 BHK Apartment ,0.9508,1585,Under Construction,Possession by Nov 2025
143,Hallmark BuildersBUILDER0,Hyderabad,Gandipet,3 BHK Apartment ,2.2,2540,Under Construction,Possession by Nov 2024
144,Hallmark BuildersBUILDER0,Hyderabad,Patighanpur,3 BHK Apartment ,1.01,1700,Under Construction,Possession by Nov 2025
145,Hallmark BuildersBUILDER0,Hyderabad,Narsingi,2 BHK Apartment ,0.9936,1325,Under Construction,Possession by Oct 2024
146,Hallmark BuildersBUILDER0,Hyderabad,Gandipet,3 BHK Apartment ,1.53,1765,Under Construction,Possession by Nov 2024
147,Hallmark BuildersBUILDER0,Hyderabad,Patighanpur,3 BHK Apartment ,1.01,1700,Under Construction,Possession by Nov 2025
148,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.52,3770,Under Construction,Possession by Nov 2024
149,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.08,3400,Under Construction,Possession by Nov 2024
150,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.08,3400,Under Construction,Possession by Nov 2024
151,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.52,3770,Under Construction,Possession by Nov 2024
152,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.52,3770,Under Construction,Possession by Nov 2024
153,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,3.71,3095,Under Construction,Possession by Nov 2024
154,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,3.71,3095,Under Construction,Possession by Nov 2024
155,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.58,3820,Under Construction,Possession by Nov 2024
156,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.58,3820,Under Construction,Possession by Nov 2024
157,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.41,3675,Under Construction,Possession by Nov 2024
158,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.41,3675,Under Construction,Possession by Nov 2024
159,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,3.69,3075,Under Construction,Possession by Nov 2024
160,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,3.69,3075,Under Construction,Possession by Nov 2024
161,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.63,3865,Under Construction,Possession by Nov 2024
162,APR GroupBUILDER0,Hyderabad,Bachupally,4 BHK Villa ,4.63,3865,Under Construction,Possession by Nov 2024
163,APR GroupBUILDER0,Hyderabad,Patancheru,3 BHK Apartment ,0.6097,1355,Under Construction,Possession by Oct 2023
164,APR GroupBUILDER0,Hyderabad,Patancheru,2 BHK Apartment ,0.5062,1125,Under Construction,Possession by Oct 2023
165,Alekya Infraa DevelopersAGENT0,Hyderabad,Aroor,Residential Plot ,0.48,2700,New,2 open sides
166,Alekya Infraa DevelopersAGENT0,Hyderabad,Aroor,Residential Plot ,0.312,1755,New,2 open sides
167,Alekya Infraa DevelopersAGENT0,Hyderabad,Aroor,Residential Plot ,0.28800000000000003,1620,New,2 open sides
168,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.4875,1755,New,3 - 4 years old
169,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.475,1710,New,3 - 4 years old
170,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.4625,1665,New,3 - 4 years old
171,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.45,1620,New,3 - 4 years old
172,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.4375,1575,New,3 - 4 years old
173,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.4,1440,New,3 - 4 years old
174,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.4075,1467,New,3 - 4 years old
175,Alekya Infraa DevelopersAGENT0,Hyderabad,Sangareddy,Residential Plot ,0.4075,1467,New,3 - 4 years old
176,Alekya Infraa DevelopersAGENT0,Hyderabad,Aroor,Residential Plot ,0.304,1710,New,2 open sides
177,Alekya Infraa DevelopersAGENT0,Hyderabad,Aroor,Residential Plot ,0.36,2025,New,2 open sides
178,Alekya Infraa DevelopersAGENT0,Hyderabad,Aroor,Residential Plot ,0.2608,1467,New,2 open sides
179,Mahaveer GroupBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.36,1825,Under Construction,Possession by Feb 2026
180,Mahaveer GroupBUILDER0,Hyderabad,Attapur,4 BHK Apartment ,3.52,4706,Under Construction,Possession by Feb 2026
181,Mahaveer GroupBUILDER0,Hyderabad,Attapur,4 BHK Apartment ,3.52,4706,Under Construction,Possession by Feb 2026
182,Mahaveer GroupBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.76,2350,Under Construction,Possession by Feb 2026
183,Mahaveer GroupBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.76,2350,Under Construction,Possession by Feb 2026
184,Mahaveer GroupBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.36,1825,Under Construction,Possession by Feb 2026
185,Mahaveer GroupBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.36,1825,Under Construction,Possession by Feb 2026
186,Mahaveer GroupBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.19,1600,Under Construction,Possession by Feb 2026
187,Mahaveer GroupBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.19,1600,Under Construction,Possession by Feb 2026
188,Mahaveer GroupBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.37,1840,Under Construction,Possession by Feb 2026
189,Mahaveer GroupBUILDER0,Hyderabad,Attapur,3 BHK Apartment ,1.37,1840,Under Construction,Possession by Feb 2026
190,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,4 BHK Independent House ,2.65,3400,Under Construction,Possession by May 2023
191,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,4 BHK Independent House ,2.65,3400,Under Construction,Possession by May 2023
192,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,4 BHK Independent House ,2.65,3400,Under Construction,Possession by May 2023
193,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,4 BHK Independent House ,2.65,3400,Under Construction,Possession by May 2023
194,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,4 BHK Independent House ,2.34,3000,Under Construction,Possession by May 2023
195,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,4 BHK Independent House ,2.34,3000,Under Construction,Possession by May 2023
196,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,3 BHK Apartment ,1.4,1800,Under Construction,Possession by May 2023
197,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,3 BHK Apartment ,1.4,1800,Under Construction,Possession by May 2023
198,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,3 BHK Apartment ,1.32,1700,Under Construction,Possession by May 2023
199,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,3 BHK Apartment ,1.32,1700,Under Construction,Possession by May 2023
200,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,3 BHK Apartment ,1.17,1500,Under Construction,Possession by May 2023
201,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,3 BHK Apartment ,1.17,1500,Under Construction,Possession by May 2023
202,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,2 BHK Apartment ,0.9359999999999999,1200,Under Construction,Possession by May 2023
203,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,2 BHK Apartment ,0.9359999999999999,1200,Under Construction,Possession by May 2023
204,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,2 BHK Apartment ,0.858,1100,Under Construction,Possession by May 2023
205,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,2 BHK Apartment ,0.858,1100,Under Construction,Possession by May 2023
206,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,4 BHK Independent House ,2.8,3600,Under Construction,Possession by May 2023
207,Mahaveer GroupBUILDER0,Hyderabad,Begumpet,4 BHK Independent House ,2.8,3600,Under Construction,Possession by May 2023
208,Beyond NatureBUILDER0,Hyderabad,Sadashivpet,Residential Plot ,0.34020000000000006,1701,New,Possession by Feb 2024
209,Beyond NatureBUILDER0,Hyderabad,Sadashivpet,Residential Plot ,0.54,2700,New,Possession by Feb 2024
210,Beyond NatureBUILDER0,Hyderabad,Sadashivpet,Residential Plot ,0.396,1980,New,Possession by Feb 2024
211,Beyond NatureBUILDER0,Hyderabad,Sadashivpet,Residential Plot ,0.342,1710,New,Possession by Feb 2024
212,Beyond NatureBUILDER0,Hyderabad,Sadashivpet,Residential Plot ,0.9,4500,New,Possession by Feb 2024
213,Beyond NatureBUILDER0,Hyderabad,Sadashivpet,Residential Plot ,0.45,2250,New,Possession by Feb 2024
